City,Country,Lat,Lng,Humidity,Max Temp,Wind Speed,Cloudiness
gat,SN,14.69,-16.54,83,25.0,2.1,49
beringovskiy,RU,63.05,179.32,63,13.52,9.73,35
cabanas,BR,-8.41,-36.34,98,16.94,3.05,42
kulhudhuffushi,MV,6.62,73.07,75,28.39,4.93,100
lima,PE,-12.06,-77.04,88,18.0,3.1,90
hit,IQ,33.64,42.83,15,28.31,4.84,0
bathsheba,BB,13.22,-59.52,74,28.0,10.3,75
batesville,US,35.77,-91.64,66,30.0,1.5,1
port-gentil,GA,-0.72,8.78,83,24.0,4.1,75
san pedro de macoris,DO,18.46,-69.3,70,29.0,2.1,20
kinkala,CG,-4.35,14.75,88,21.0,1.5,0
dingli,IN,28.39,75.51,35,37.03,8.61,0
catia la mar,VE,10.6,-67.03,73,25.0,4.05,40
alexandria,RO,43.97,25.33,65,17.3,2.35,0
sayyan,YE,15.17,44.32,59,23.7,1.05,64
los andes,CL,-32.83,-70.6,81,7.0,3.1,0
eirunepe,BR,-6.66,-69.87,94,22.44,0.61,28
yatou,CM,3.63,9.81,94,25.0,5.48,75
dicabisagan,PH,17.08,122.42,86,26.96,1.12,100
tarana,AU,-33.53,149.91,33,14.44,0.45,0
kishtwar,IN,33.31,75.77,41,17.36,0.67,21
zvishavane,ZW,-20.32,30.05,56,11.47,1.33,0
man,CI,7.41,-7.55,99,20.06,0.73,62
makinsk,KZ,52.63,70.42,59,17.06,8.92,0
lengshuitan,CN,26.41,111.6,61,29.91,3.24,55
huarmey,PE,-10.07,-78.15,90,17.75,7.28,63
san pedro,AR,-33.68,-59.66,88,6.67,0.89,0
visnes,NO,59.36,5.22,93,14.0,7.2,92
lac du bonnet,CA,50.25,-96.06,71,18.05,5.11,40
nueva concepcion,GT,14.2,-91.3,79,27.75,3.49,41
burnie,AU,-41.05,145.91,83,12.22,8.49,100
qasigiannguit,GL,68.82,-51.19,80,4.0,1.0,40
wajid,SO,3.81,43.25,77,24.14,9.43,39
sawakin,SD,19.1,37.33,52,29.5,4.4,0
frankfort,US,38.2,-84.87,78,24.0,4.1,90
impfondo,CD,1.62,18.06,88,22.82,1.39,32
zyryanka,RU,65.73,150.89,24,21.1,4.0,100
chiang rai,TH,19.9,99.84,88,27.22,1.0,40
soyalo,MX,16.9,-92.92,69,26.0,5.1,90
roald,NO,62.58,6.12,93,13.0,7.7,100
shingu,JP,33.72,135.99,100,23.0,0.5,75
petropavlovka,RU,50.61,105.32,53,16.38,2.55,33
havoysund,NO,71.0,24.66,65,8.0,11.3,0
eyl,SO,7.98,49.82,55,26.64,13.18,77
orlik,PL,53.95,17.74,68,19.0,8.2,0
jasper,US,33.83,-87.28,88,27.22,0.54,1
liberal,US,37.04,-100.92,45,32.0,8.2,1
iskateley,RU,67.68,53.15,79,9.78,7.52,100
dalbandin,PK,28.9,64.41,5,35.38,6.35,0
bilma,NE,18.69,12.92,19,32.19,7.41,0
inuvik,CA,68.36,-133.71,47,14.0,3.1,75
komsomolskiy,RU,67.55,63.78,81,17.19,7.1,100
bozhou,CN,33.86,115.78,24,34.53,4.9,0
gerash,IR,27.67,54.14,25,25.0,0.83,0
provideniya,RU,64.42,-173.23,87,9.0,6.0,90
reconquista,AR,-29.14,-59.64,81,12.28,4.39,100
deer lake,CA,49.18,-57.43,82,13.0,5.7,75
port macquarie,AU,-31.43,152.91,51,20.56,2.1,0
sundsvall,SE,62.39,17.31,93,12.78,2.51,13
dourados,BR,-22.22,-54.81,69,20.98,1.5,0
tambun,ID,-6.26,107.07,69,28.33,1.72,0
shenjiamen,CN,29.96,122.3,97,24.74,3.65,100
venadillo,CO,4.72,-74.93,100,20.0,2.1,90
desbiens,CA,48.42,-71.95,93,17.0,2.6,20
dunedin,NZ,-45.87,170.5,53,11.67,1.34,100
bairnsdale,AU,-37.83,147.63,43,15.56,0.89,0
rosario,UY,-34.31,-57.35,88,6.67,1.34,0
santa cruz,BR,-6.22,-36.02,94,19.88,3.45,12
lodwar,KE,3.12,35.6,56,26.98,5.77,49
troitsko-pechorsk,RU,62.71,56.19,98,12.72,0.76,100
jiuquan,CN,39.73,98.49,12,29.14,4.62,67
santa maria del oro,MX,25.95,-105.37,31,22.58,2.74,1
vygonichi,RU,53.1,34.07,90,14.35,2.11,46
casablanca,MA,33.6,-7.62,88,20.56,3.1,75
kalevala,FI,64.12,29.58,70,8.93,3.82,100
marovoay,MG,-16.11,46.64,73,21.0,3.32,0
dabat,ET,12.98,37.77,86,17.97,0.21,8
languyan,FR,48.3,-3.83,93,15.0,1.5,90
vaikam,IN,9.77,76.4,100,26.0,1.5,40
point pleasant,US,40.08,-74.07,53,25.0,3.6,1
krasnyy chikoy,RU,50.36,108.75,46,20.53,2.25,0
francisco beltrao,BR,-26.08,-53.05,95,17.8,1.15,21
nefteyugansk,RU,61.09,72.61,59,19.0,3.0,0
hofn,IS,64.25,-15.21,86,-1.98,4.71,39
cap-haitien,HT,19.76,-72.2,83,28.35,6.32,11
sao joao da barra,BR,-21.64,-41.05,94,20.17,1.1,0
bonfim,GY,3.36,-59.84,85,25.1,3.72,35
